col_name,data_type,comment
AC_ACTVN_DT,date,Account Activation date sourcing from the CRM System with Format YYYY-MM-DD HH:MM:SS
AC_BAL,"decimal(20,6)",Field represents either the main account balance amount or the dedicated balance amount
ACQ_CNL,int,"A field that holds the sales channel of the organization unit (e.g. Retail Sales, D2D & Van Sales, etc.)"
ACS_DVC,string,"Represents type of device (e.g. Handset, Smartphone, Tablet, Mobile Internet Modem, ADSL modem, Router)"
ACS_DVC_MAKE,string,"Represents the customer device vendor name (e.g. Apple, Samsung, Blackberry, CISCO)"
ACS_DVC_MODL,string,"Represents the device model name (e.g. iPhone5, iPhone3GS, Blackberry Z10)"
ACS_DVC_NTW_TP,string,"References the supported network type of the device (e.g. COAX, LAN, 2G, 3G, 4G)"
ACS_DVC_OPRG_STM,string,"Operating system of the device (e.g. Android Froyo 2.2, Windows Mobile 7.5, iOS5, Bada, Symbian)."
ACS_DVC_SRL_NUM,string,Tokenized - Represents the serial number associated with device
ACTV_30_DYS,int,Indicates whether the customer was active in last 30 days
ACTV_60_DYS,int,Indicates whether the customer was active in last 60 days
ACTV_90_DYS,int,Indicates whether the customer was active in last 90 days
ACTV_DYS_DATA,int,"Indicates Number of Active Days of Data events within a given month.

M1: Snapshot month
M2: Snapshot month minus 1
M3: Snapshot month - 2"
ACTV_DYS_IDD,int,"Indicates Number of Active Days of International(IDD) Voice events within a given month.

M1: Snapshot month
M2: Snapshot month minus 1
M3: Snapshot month - 2"
ACTVN_DT,timestamp,Subscription Activation date sourcing from the CRM System with format YYYY-MM-DD HH:MM:SS
ADD_ON_ELIFE_FLG,string,Flag represents if customer added Add Ons for Elife Postpaid service with Value N or Y
ADD_ON_ELIFE_VAL,"decimal(15,8)",Indicates the total value of the active Elife addons as of end of the snapshot month.
ADD_ON_PSTPD_FLG,string,Flag represents if customer added Postpaid Add Ons service with Value N or Y
ADD_ON_PSTPD_VAL,"decimal(15,8)",Indicates the total value of the active Postpaid addons as of end of the snapshot month.
ALLOWANCES_BULK_SMS_TRX,"decimal(38,4)",Customer Allowances Balance for bulk SMS service transactions
