col_name,comment
SO_REV_ONNT_M3,Indicates Total Revenue of SMS Local ONnet events within a given month.
SO_REV_ONNT_M6,Indicates Total Revenue of SMS Local ONnet events within a given month.
SO_REV_ONNT_WK1,Indicates Total Revenue of SMS Local ONnet events within a given month.
SO_REV_ONNT_WK2,Indicates Total Revenue of SMS Local ONnet events within a given month.
SO_REV_ONNT_WK3,Indicates Total Revenue of SMS Local ONnet events within a given month.
SO_REV_ONNT_WK4,Indicates Total Revenue of SMS Local ONnet events within a given month.
SO_REV_VAT_M1,Indicates Total Revenue of SMS VAT events within a given month.
SO_REV_WK1,Indicates Total Revenue of SMS local events within a given month.
SO_REV_WK2,Indicates Total Revenue of SMS local events within a given month.
SO_REV_WK3,Indicates Total Revenue of SMS local events within a given month.
SO_REV_WK4,Indicates Total Revenue of SMS local events within a given month.
SO_REV_WKDAY_M1,Indicates Total Revenue of SMS local events within a given month.
SO_REV_WKEND_M1,Indicates Total Revenue of SMS local events within a given month.
SO_ROAM_CNT_CHRG_M1,SMS Roaming Charged Transactions
SO_ROAM_CNT_FREE_M1,SMS Roaming Free Transactions
SO_ROAM_CNT_M1,SMS Roaming Transactions
SO_ROAM_CNT_M3,SMS Roaming Transactions
SO_ROAM_CNT_M6,SMS Roaming Transactions
SO_ROAM_CNT_WK1,SMS Roaming Transactions
SO_ROAM_CNT_WK2,SMS Roaming Transactions
SO_ROAM_CNT_WK3,SMS Roaming Transactions
SO_ROAM_CNT_WK4,SMS Roaming Transactions
SO_ROAM_REV_M1,SMS Roaming Revenue
SO_ROAM_REV_M3,SMS Roaming Revenue
SO_ROAM_REV_M6,SMS Roaming Revenue
SO_ROAM_REV_WK1,SMS Roaming Revenue
SO_ROAM_REV_WK2,SMS Roaming Revenue
SO_ROAM_REV_WK3,SMS Roaming Revenue
SO_ROAM_REV_WK4,SMS Roaming Revenue
SO_STD_ACT_MOU_M1,Actual National SMS usage for a specific Month
SO_STD_CNT_CHRG_M1,SMS STD Charged Transactions
SO_STD_CNT_FREE_M1,SMS STD Free Transactions
SR_AVG_RSLTN_TIME_M1,SR Average resolution time.
SR_AVG_RSLTN_TIME_M2,SR Average resolution time.
SR_AVG_RSLTN_TIME_M3,SR Average resolution time.
SR_CNL_CNT_M1,Number of SR Channels
SR_CNL_CNT_M2,Number of SR Channels
SR_CNL_CNT_M3,Number of SR Channels
